TYPE,URL,IP
"Sakura exploit kit",vellalink.com/admin.php,
BlackEnergy,tuxuu.u-gu.ru/index.php,
"SKY-Loader v.1.2",qrnju.dopitter.info/stat/admin.php,
Crimepack,zboyz657.info/nolock/control.php,
Crimepack,udhisparty.net/control.php,
Crimepack,traff-hits433.info/ub/control.php,
"Phoenix Exploit Kit 3.1",validatoronmee.ru:8080/pages/bmfoaqdzhuclgqgreudq9.php,
SUTRA,www2.mcgregart.com/admin/,
SUTRA,hgjfjg55555555555555.nl.ai/admin/,
SUTRA,findervid.com/admin/,
SUTRA,vehiclefind24.com/admin/,
Unknown,whitetms.com/loader/,
SUTRA,outclickstds.com/admin/,
SpyEye,trylook.ru/frmcp1/,
SpyEye,trasaner.gv.vg/frmcp0/,
SpyEye,pottema.gv.vg/frmcp0/,
SpyEye,havephun.org/frmcp1/,
WSO,store.metascrape.com/skin/frontend/default/blue/css/update.php,198.12.153.10
SpyEye,koletrezzo.ru/frmcp0/,
SpyEye,445566889900.com/_GG7/_MNFRM/,
SpyEye,expertmailservice.com/formgrabber/,
SpyEye,alameenhotel.com/spy/FormGrabber/,
SpyEye,g00d8y3.1.vg/spynet/FormGrabber/,
SpyEye,clicks-r-us.com/lick/formgrabber/,
SpyEye,blogspotfudcrypters.com.nu/spyeye/,
SpyEye,defcomlines.com/frmcp0/,
SpyEye,fullhousevscare.com/frmcp0/,
SpyEye,bkstrdljs.com/frmcp0/,
SpyEye,koletrezzo22.ru/frmcp0/,
SpyEye,linebysharsa.com/frmcp0/,
SpyEye,savemefrommyselff.com/frmcp0/,
SpyEye,pleasekindlyuse.com/_GG7/_MNFRM/,
SpyEye,peppercomdefa.com/frmcp0/,
SpyEye,orumearchsdelaltruk.info/frmcp0/,
SpyEye,metallocon.ru/spe/main/,
SpyEye,poligraff.us/FormGrabber/,
SpyEye,46.28.65.49/_panelpriv/form/,
SpyEye,livedieoslix.com/frmcp0/,
SpyEye,cg1.fr/admtriii/main/,
"Hybrid Botnet Control",cg1.fr/admtriii/h/,
VertexNet,cg1.fr/admtriii/v/,
SpyEye,67.227.83.102/jiol/frmcp0/,
SpyEye,263rdasd.com/client/frmcp/,
Spitmo,263rdasd.com/sms/,
Spitmo,634rfeds.com/sms/,
SpyEye,tmt-mail.com/frmcp2/,
SpyEye,registrationstables.com/frmcp2/,
SpyEye,188.66.6.58/frmcp2/,
SpyEye,178.255.199.15/newspy/frmcp0/,
SpyEye,faterininc.ru:9564/formg/uk/,
SpyEye,teol.hebergementoffshore.com/admin/FormGrabber/,
SpyEye,bannermegan2all.ru/adm/frmcp0/,
SpyEye,ircbot.blogdns.net/dlls/,
SpyEye,82.146.44.30/main/,
SpyEye,216.155.138.19/1/b/,
SpyEye,listsock5.com/FormGrabber/,
SpyEye,deeprunning2000.ru/adm/frmcp0/,
SpyEye,gui2hiphop.ru/adm/frmcp0/,
SpyEye,off2off4sea.ru/adm/frmcp0/,
SpyEye,rangemaster777u.ru/adm/frmcp0/,
SpyEye,triplenaple2us.ru/adm/frmcp0/,
SpyEye,road12street12.ru/adm/frmcp0/,
SpyEye,swordandair2000.ru/adm/frmcp0/,
SpyEye,hansluthill.in/logo/,
SpyEye,best-trololo.com/adm/maincp/client/,
ZeuS,epsyium.com/zeus/,
SpyEye,madabum.in/kurcina/,
SpyEye,fuckadv.ru/fgp/,
SpyEye,busineslife1.com/adm/frmcp/installer/,
SpyEye,goreeotuma.ru/adm/frmcp2/,
SpyEye,178.162.239.224/browser/,
SpyEye,rus99.net/se/logs/,
SpyEye,optimizzzm.ru/adm/frmcp2/installer/,
SpyEye,92.241.191.80/sp123/FormGrabber/,
SpyEye,doliv777.com/adm/frmcp/,
SpyEye,bymartin.xxl.lc/Formgrab%20Access%20Panel/,
Blackhole,vjl3dvj.ru/bhadminb.php,
Blackhole,changjiu2.com/adm.php,
Blackhole,happy-new.in/panel.php,
Blackhole,178.162.145.184/init.php,
Blackhole,91.218.36.236/format.php,
Lokibot,enesadvert.ru/mppguy/Panel/five/PvqDq929BSx_A_D_M1n_a.php,195.154.34.135
ZeuS,ctwonx221.ddns.net/zetus/cp.php?m=login,5.39.14.163
Lokibot,workfromhomeplc.ru/ftp/five/PvqDq929BSx_A_D_M1n_a.php,47.89.18.238
Blackhole,sadmissed.com/bhstat.php?threadID=22&ruleID=33&key=0c382c13dbaca1490c207a89b61a2c53,
"toolstore panel",92.241.164.76/.steal/~secure/login.php,
VertexNet,ekin0x.hack-free.net/King/,
VertexNet,sakiir-hosting.eu/VertexPanel/,
iStealer,sakir.hack-free.net/Stealer/,
VertexNet,cythisia-botdigz.azok.org/Web%20Panel/upload/,
"Silence Winlocker",91.217.153.50/adm/,
Rovnix.D,69.64.43.38/admin/,
"Carder shop",quitpp.biz/admincp/,
"Carder shop",myfullz.com/ds-admin/,
Winlock,policebrave.info/cp.php,195.208.185.49
"Eleonore Exploits pack",virusmafia.in/stat.php,
supern0va,mmmoney1.com/new/,
supern0va,mmmoney1.com/panel/,
Citadel,stopwell.org/cp.php?m=login,
Warbot,top30news.comeze.com/img/index.php?p=Login,
Blackhole,195.88.74.86/bhadmin.php,
"Smoke Bot",strelokfancy.com/viaweb/control.php,
