"WatchList","HostAddress","ReasonAdded","MemberSince"
"CTU Domain Coal Blacklist","azzoodijdhgdr.com","Gozi ISFB .avi GET - Outbound","2018-11-20T05:28:38Z",
"CTU Domain Coal Blacklist","blacklist-test.secureworks.com","Test - Dell SecureWorks AttackerDB Customer Test Event (non-malicious)","2017-06-14T20:26:01Z",
"CTU Domain Coal Blacklist","cholitis.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","conthom.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-10T05:28:21Z",
"CTU Domain Coal Blacklist","copelebrun.biz","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","differentia.ru","Gamarue Andromeda Trojan Phone Home","2018-02-17T05:30:10Z",
"CTU Domain Coal Blacklist","disorderstatus.ru","Gamarue Andromeda Trojan Phone Home","2018-02-17T05:30:10Z",
"CTU Domain Coal Blacklist","duettishe.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","essived.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","freshwallet.at","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","hydrograns.biz","IcedID Banking Trojan C2 Communication - Outbound","2018-11-08T05:27:57Z",
"CTU Domain Coal Blacklist","labough.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-10T05:28:21Z",
"CTU Domain Coal Blacklist","migraint.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-14T05:28:10Z",
"CTU Domain Coal Blacklist","opporth.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-14T05:28:10Z",
"CTU Domain Coal Blacklist","provaking.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-10T05:28:21Z",
"CTU Domain Coal Blacklist","pythose.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-10T05:28:21Z",
"CTU Domain Coal Blacklist","revidus.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","roleasure.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-14T05:28:10Z",
"CTU Domain Coal Blacklist","schoic.biz","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","themiole.biz","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","therebes.biz","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","underench.com","IcedID Banking Trojan C2 Communication - Outbound","2018-11-13T05:28:15Z",
"CTU Domain Coal Blacklist","www.aieov.com","Floxif Malware C2 Communication - Outbound","2018-11-13T05:28:15Z",
"abuse.ch ZeuS Tracker Domain Watchlist","afobal.cl","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","alvoportas.com.br","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","bestdove.in.ua","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","bikeshophaidli.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","blogerjijer.pw","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","bright.su","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","brightqain.com","ZeuS Tracker Domain Blocklist","2018-11-08T00:55:05Z",
