"WatchList","HostAddress","ReasonAdded","MemberSince","Latitude","Longitude","CountryCode","Location"
"CTU IP Coal Blacklist","46.17.46.5","Gozi ISFB .avi GET - Outbound","2018-11-20T06:49:33Z","55.9808","37.2579","RU","Moscow, Russia"
"CTU IP Coal Blacklist","66.199.229.91","Bunitu/Weneedit Proxy Trojan Phone Home","2018-11-09T06:44:19Z","40.7042","-74.0123","US","New York, United States"
"CTU IP Coal Blacklist","76.73.213.148","Emotet Malware Phone Home","2018-11-20T06:49:33Z","32.9751","-80.1802","US","Summerville, United States"
"CTU IP Coal Blacklist","91.230.60.116","IcedID Banking Trojan C2 Communication - Outbound","2018-11-08T06:44:37Z","59.939","30.3158","RU","St Petersburg, Russia"
"CTU IP Coal Blacklist","92.223.105.204","Self-Signed Example SSL Certificate Often Used By Malware - Inbound","2018-11-15T06:44:56Z","48.2092","16.3728","AT","Vienna, Austria"
"CTU IP Coal Blacklist","95.213.144.203","IcedID Banking Trojan C2 Communication - Outbound","2018-11-14T06:46:00Z","59.939","30.3158","RU","St Petersburg, Russia"
"CTU IP Coal Blacklist","95.213.144.203","IcedID Banking Trojan SSL Certificate - Inbound","2018-11-20T06:49:33Z","59.939","30.3158","RU","St Petersburg, Russia"
"CTU IP Coal Blacklist","185.231.246.107","IcedID Banking Trojan C2 Communication - Outbound","2018-11-10T06:47:20Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU IP Coal Blacklist","188.68.209.153","Self-Signed Example SSL Certificate Often Used By Malware - Inbound","2018-11-14T06:46:00Z","53.4593","59.0826","RU","Magnitogorsk, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","31.7.63.146","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","46.948","7.44821","CH","Bern, Switzerland"
"abuse.ch ZeuS Tracker IP Watchlist","37.143.11.189","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","55.7859","37.5997","RU","Moscow, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","46.4.150.111","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","49.1159","10.7534","DE","Gunzenhausen, Germany"
"abuse.ch ZeuS Tracker IP Watchlist","50.63.202.63","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","33.5996","-111.89","US","Scottsdale, United States"
"abuse.ch ZeuS Tracker IP Watchlist","58.195.1.4","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","30.4506","114.45","CN","Jiangxia, China"
